orientations: 9, n_components: 50
n_neighbors: 18, accuracy train: 0.7263280670130421, accuracy val: 0.6782092505565175
n_neighbors: 19, accuracy train: 0.725373767362952, accuracy val: 0.6809300024734108
n_neighbors: 20, accuracy train: 0.7207083024069558, accuracy val: 0.6789512738065793
n_neighbors: 21, accuracy train: 0.7185876365178666, accuracy val: 0.6819193668068266
n_neighbors: 22, accuracy train: 0.7179514367511398, accuracy val: 0.6791986148899333
n_neighbors: 23, accuracy train: 0.7169971371010497, accuracy val: 0.6777145683898096
n_neighbors: 24, accuracy train: 0.7158307708620507, accuracy val: 0.6799406381399951
n_neighbors: 25, accuracy train: 0.7161488707454141, accuracy val: 0.6772198862231017
n_neighbors: 26, accuracy train: 0.7144523380341428, accuracy val: 0.6829087311402424
n_neighbors: 27, accuracy train: 0.7137101049729615, accuracy val: 0.6791986148899333
n_neighbors: 28, accuracy train: 0.7129678719117803, accuracy val: 0.6779619094731635
n_neighbors: 29, accuracy train: 0.7102110062559643, accuracy val: 0.6767252040563938
[KNN BEST] n_neighbors=11, val_accuracy=0.6829087311402424
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.7004699480583725
------------------------------------------------------------------------------------------------------------------------
orientations: 36, n_components: 500
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6564432352213703
n_neighbors: 2, accuracy train: 0.8083978369207931, accuracy val: 0.63071976255256
n_neighbors: 3, accuracy train: 0.8110486692821546, accuracy val: 0.6611427158050952
n_neighbors: 4, accuracy train: 0.7870851447354469, accuracy val: 0.6683156072223596
n_neighbors: 5, accuracy train: 0.7758456155232744, accuracy val: 0.6675735839722978
n_neighbors: 6, accuracy train: 0.7659845191390097, accuracy val: 0.6784565916398714
n_neighbors: 7, accuracy train: 0.7607888877107412, accuracy val: 0.6759831808063319
n_neighbors: 8, accuracy train: 0.7516700243876577, accuracy val: 0.6685629483057136
n_neighbors: 9, accuracy train: 0.748276958965115, accuracy val: 0.6722730645560228
n_neighbors: 10, accuracy train: 0.7478528257872972, accuracy val: 0.671531041305961
n_neighbors: 11, accuracy train: 0.7443537270703001, accuracy val: 0.6735097699727924
n_neighbors: 12, accuracy train: 0.7402184285865762, accuracy val: 0.6752411575562701
n_neighbors: 13, accuracy train: 0.7371434630473969, accuracy val: 0.6791986148899333
n_neighbors: 14, accuracy train: 0.7337503976248542, accuracy val: 0.6720257234726688
n_neighbors: 15, accuracy train: 0.7314176651468561, accuracy val: 0.6720257234726688
n_neighbors: 16, accuracy train: 0.7269642667797689, accuracy val: 0.6740044521395003
n_neighbors: 17, accuracy train: 0.7260099671296787, accuracy val: 0.6752411575562701
n_neighbors: 18, accuracy train: 0.7256918672463153, accuracy val: 0.6744991343062082
n_neighbors: 19, accuracy train: 0.7233591347683173, accuracy val: 0.6764778629730398
n_neighbors: 20, accuracy train: 0.7218746686459548, accuracy val: 0.6762305218896859
n_neighbors: 21, accuracy train: 0.7213445021736825, accuracy val: 0.675735839722978
n_neighbors: 22, accuracy train: 0.721450535468137, accuracy val: 0.6740044521395003
n_neighbors: 23, accuracy train: 0.7225108684126815, accuracy val: 0.6759831808063319
n_neighbors: 24, accuracy train: 0.7196479694624112, accuracy val: 0.675488498639624
n_neighbors: 25, accuracy train: 0.7197540027568656, accuracy val: 0.6769725451397477
n_neighbors: 26, accuracy train: 0.7168911038065953, accuracy val: 0.6740044521395003
n_neighbors: 27, accuracy train: 0.7167850705121408, accuracy val: 0.6764778629730398
n_neighbors: 28, accuracy train: 0.7157247375675962, accuracy val: 0.6762305218896859
n_neighbors: 29, accuracy train: 0.7118015056727812, accuracy val: 0.6762305218896859
[KNN BEST] n_neighbors=13, val_accuracy=0.6791986148899333
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.6616373979718031
------------------------------------------------------------------------------------------------------------------------
========================================================================================================================
